pair,session_name,session_start_utc,session_end_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed
EURJPY,new_york,2025-07-22T12:00:00.000000+0000,2025-07-22T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,6,0.071051,-20.213709,19.819384,19.819384,6,basket_sl_pips,123
GBPJPY,new_york,2025-07-22T12:00:00.000000+0000,2025-07-22T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,0.957,0.495,0.495,3,basket_tp_pips,21
GBPUSD,new_york,2025-07-22T12:00:00.000000+0000,2025-07-22T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.382333,0.3146,0.3146,3,basket_tp_pips,133
NZDUSD,new_york,2025-07-22T12:00:00.000000+0000,2025-07-22T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,5,0.05641,-7.294859,8.761753,8.146853,5,daily_liquidation,531
EURJPY,asia,2025-07-22T22:00:00.000000+0000,2025-07-23T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.056,0.216113,0.198,3,basket_tp_pips,49
GBPJPY,asia,2025-07-22T22:00:00.000000+0000,2025-07-23T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.056,0.6039,0.6039,3,basket_tp_pips,49
GBPUSD,asia,2025-07-22T22:00:00.000000+0000,2025-07-23T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,2,0.02,0.0,0.0,0.0,2,session_close,300
NZDUSD,asia,2025-07-22T22:00:00.000000+0000,2025-07-23T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,2,0.02,0.0,0.0,0.0,2,session_close,300
EURJPY,london,2025-07-23T02:00:00.000000+0000,2025-07-23T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,0.957,0.5346,0.5346,3,basket_tp_pips,12
GBPJPY,london,2025-07-23T02:00:00.000000+0000,2025-07-23T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,0.957,0.4653,0.4653,3,basket_tp_pips,14
